,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,left,promotion_last_5years,department,salary
0,0.38,0.53,2,157.0,3.0,0,1,0,1,1
1,0.8,0.86,5,262.0,6.0,0,1,0,1,2
2,0.11,0.88,7,272.0,4.0,0,1,0,1,2
3,0.72,0.87,5,223.0,5.0,0,1,0,1,1
4,0.37,0.52,2,0.0,0.0,0,1,0,1,1
5,0.41,0.5,2,0.0,0.0,0,1,0,1,1
6,0.1,0.77,6,247.0,4.0,0,1,0,1,1
7,0.92,0.85,5,259.0,5.0,0,1,0,1,1
8,0.89,1.0,5,224.0,5.0,0,1,0,1,1
9,0.42,0.53,2,142.0,3.0,0,1,0,1,1
10,0.45,0.54,2,135.0,3.0,0,1,0,1,1
11,0.11,0.81,6,305.0,4.0,0,1,0,1,1
12,0.84,0.92,4,234.0,5.0,0,1,0,1,1
13,0.41,0.55,2,148.0,3.0,0,1,0,1,1
14,0.36,0.56,2,137.0,3.0,0,1,0,1,1
15,0.38,0.54,2,143.0,3.0,0,1,0,1,1
16,0.45,0.47,2,160.0,3.0,0,1,0,1,1
17,0.78,0.99,4,255.0,6.0,0,1,0,1,1
18,0.45,0.51,2,160.0,3.0,1,1,1,1,1
19,0.76,0.89,5,262.0,5.0,0,1,0,1,1
20,0.11,0.83,6,282.0,4.0,0,1,0,1,1
21,0.38,0.55,2,147.0,3.0,0,1,0,1,1
22,0.09,0.95,6,304.0,4.0,0,1,0,1,1
23,0.46,0.57,2,139.0,3.0,0,1,0,1,1
24,0.4,0.53,2,158.0,3.0,0,1,0,1,1
25,0.89,0.92,5,242.0,5.0,0,1,0,1,1
26,0.82,0.87,4,239.0,5.0,0,1,0,1,1
27,0.4,0.49,2,135.0,3.0,0,1,0,1,1
28,0.41,0.46,2,128.0,3.0,0,1,0,8,1
29,0.38,0.5,2,0.0,0.0,0,1,0,8,1
30,0.09,0.62,6,0.0,0.0,0,1,0,8,1
31,0.45,0.57,2,134.0,3.0,0,1,0,9,1
32,0.4,0.51,2,145.0,3.0,0,1,0,9,1
33,0.45,0.55,2,140.0,3.0,0,1,0,9,1
34,0.84,0.87,4,246.0,6.0,0,1,0,9,1
35,0.1,0.94,6,255.0,4.0,0,1,0,2,1
36,0.38,0.46,2,137.0,3.0,0,1,0,2,1
37,0.45,0.5,2,126.0,3.0,0,1,0,2,1
38,0.11,0.89,6,306.0,4.0,0,1,0,2,1
39,0.41,0.54,2,152.0,3.0,0,1,0,2,1
40,0.87,0.88,5,269.0,5.0,0,1,0,2,1
41,0.45,0.48,2,158.0,3.0,0,1,0,2,1
42,0.4,0.46,2,127.0,3.0,0,1,0,2,1
43,0.1,0.8,7,281.0,4.0,0,1,0,2,1
44,0.09,0.89,6,276.0,4.0,0,1,0,2,1
45,0.84,0.74,3,182.0,4.0,0,1,0,2,1
46,0.4,0.55,2,147.0,3.0,0,1,0,3,1
47,0.57,0.7,3,273.0,6.0,0,1,0,3,1
48,0.4,0.54,2,0.0,0.0,0,1,0,3,1
49,0.43,0.47,2,147.0,3.0,0,1,0,3,1
50,0.13,0.78,6,152.0,2.0,0,1,0,3,1
51,0.44,0.55,2,135.0,3.0,0,1,0,3,1
52,0.38,0.55,2,134.0,3.0,0,1,0,3,1
53,0.39,0.54,2,132.0,3.0,0,1,0,3,1
54,0.1,0.92,7,307.0,4.0,0,1,0,3,1
55,0.37,0.46,2,140.0,3.0,0,1,0,3,1
56,0.11,0.94,7,0.0,0.0,0,1,0,3,1
57,0.1,0.81,6,309.0,4.0,0,1,0,2,1
58,0.38,0.54,2,128.0,3.0,0,1,0,2,1
59,0.85,1.0,4,225.0,5.0,0,1,0,2,1
60,0.85,0.91,5,226.0,5.0,0,1,0,10,2
61,0.11,0.93,7,308.0,4.0,0,1,0,4,2
62,0.1,0.95,6,244.0,5.0,0,1,0,4,2
63,0.36,0.56,2,132.0,3.0,0,1,0,4,2
64,0.11,0.94,6,286.0,4.0,0,1,0,4,2
65,0.81,0.7,6,161.0,4.0,0,1,0,4,2
66,0.43,0.54,2,153.0,3.0,0,1,0,5,2
67,0.9,0.98,4,264.0,6.0,0,1,0,5,2
68,0.76,0.86,5,223.0,5.0,1,1,0,5,2
69,0.43,0.5,2,135.0,3.0,0,1,0,5,2
70,0.74,0.99,2,277.0,3.0,0,1,0,4,2
71,0.09,0.77,5,275.0,4.0,0,1,0,5,2
72,0.45,0.49,2,149.0,3.0,0,1,0,5,3
73,0.09,0.87,7,295.0,4.0,0,1,0,5,1
74,0.11,0.97,6,277.0,4.0,0,1,0,5,2
75,0.11,0.79,7,0.0,4.0,0,1,0,5,2
76,0.1,0.83,6,295.0,4.0,0,1,0,5,2
77,0.4,0.54,2,137.0,3.0,0,1,0,7,2
78,0.43,0.56,2,157.0,3.0,0,1,0,1,1
79,0.39,0.56,2,142.0,3.0,0,1,0,8,1
80,0.45,0.54,2,140.0,3.0,0,1,0,3,1
81,0.38,0.49,2,151.0,3.0,0,1,0,2,1
82,0.79,0.59,4,139.0,3.0,0,1,1,10,1
83,0.84,0.85,4,249.0,6.0,0,1,0,7,1
84,0.11,0.77,6,0.0,4.0,0,1,0,7,1
85,0.11,0.87,6,305.0,4.0,0,1,0,7,1
86,0.17,0.84,5,232.0,3.0,0,1,0,1,1
87,0.44,0.45,2,132.0,3.0,0,1,0,1,1
88,0.37,0.57,2,130.0,3.0,0,1,0,1,1
89,0.1,0.79,6,291.0,4.0,0,1,0,1,1
90,0.4,0.5,2,130.0,3.0,0,1,0,1,1
91,0.89,1.0,5,246.0,5.0,0,1,0,1,1
92,0.42,0.48,2,143.0,3.0,0,1,0,1,1
93,0.46,0.55,2,129.0,3.0,0,1,0,1,1
94,0.09,0.83,6,255.0,4.0,0,1,0,1,1
95,0.37,0.51,2,155.0,3.0,0,1,0,1,1
96,0.1,0.77,6,265.0,4.0,0,1,0,1,1
97,0.1,0.84,6,279.0,4.0,0,1,0,1,1
98,0.11,0.97,6,284.0,4.0,0,1,0,1,1
99,0.9,1.0,5,221.0,6.0,0,1,0,1,2
100,0.38,0.52,2,154.0,3.0,0,1,0,1,2
101,0.36,0.52,2,147.0,3.0,0,1,0,1,2
102,0.42,0.46,2,150.0,3.0,0,1,0,1,2
103,0.09,0.94,7,267.0,4.0,0,1,0,1,2
104,0.43,0.52,2,158.0,3.0,0,1,0,1,2
105,0.24,0.46,7,224.0,5.0,0,1,0,8,2
106,0.91,1.0,4,257.0,5.0,0,1,0,8,2
107,0.44,0.5,2,148.0,3.0,0,1,0,8,2
108,0.71,0.87,3,177.0,4.0,0,1,0,9,2
109,0.4,0.49,2,155.0,3.0,0,1,0,9,2
110,0.43,0.47,2,144.0,3.0,0,1,0,9,2
111,0.09,0.85,6,0.0,4.0,0,1,0,9,3
112,0.43,0.52,2,160.0,3.0,0,1,0,2,1
113,0.9,0.96,4,258.0,5.0,0,1,0,2,2
114,0.84,1.0,5,234.0,5.0,0,1,0,2,2
115,0.37,0.48,2,137.0,3.0,0,1,0,2,2
116,0.86,0.68,5,263.0,2.0,0,1,0,2,2
117,0.11,0.84,6,251.0,4.0,0,1,0,2,1
118,0.37,0.57,2,133.0,3.0,0,1,0,2,1
119,0.4,0.46,2,132.0,3.0,0,1,0,2,1
120,0.14,0.62,4,158.0,4.0,1,1,0,2,1
121,0.4,0.46,2,135.0,0.0,0,1,0,2,1
122,0.75,1.0,4,216.0,0.0,0,1,0,2,1
123,0.11,0.84,6,300.0,0.0,1,1,0,3,1
124,0.46,0.49,2,138.0,0.0,0,1,0,3,1
125,0.11,0.92,6,260.0,4.0,0,1,0,3,1
126,0.38,0.49,2,132.0,3.0,0,1,0,3,1
127,0.7,0.89,3,183.0,5.0,0,1,0,3,1
128,0.09,0.82,6,250.0,4.0,0,1,0,3,1
129,0.37,0.45,2,151.0,3.0,0,1,0,3,1
130,0.1,0.83,6,292.0,4.0,0,1,0,3,1
131,0.38,0.57,2,140.0,3.0,0,1,0,3,1
132,0.9,1.0,5,221.0,5.0,0,1,0,3,1
133,0.44,0.51,2,138.0,3.0,0,1,0,3,1
134,0.36,0.5,2,132.0,3.0,0,1,0,2,1
135,0.31,0.84,7,133.0,5.0,0,1,0,2,1
136,0.1,0.84,6,283.0,0.0,1,1,0,2,1
137,0.42,0.48,2,129.0,3.0,0,1,0,10,1
138,0.74,1.0,4,249.0,5.0,0,1,0,4,1
139,0.73,0.87,5,257.0,5.0,0,1,0,4,1
